Attrition;JobRole;OverTime;YearsInCurrentRole;YearsWithCurrManager;Age;YearsAtCompany;StockOptionLevel;JobInvolvement;BusinessTravel;JobSatisfaction;EnvironmentSatisfaction;DistanceFromHome;WorkLifeBalance;TrainingTimesLastYear;DailyRate;MonthlyIncome;AgeGroup;IncomeGroup;CurrentRoleYearsGroup;Attrition_bin;Attrition_Prob_ML;PC1;PC2;Cluster_K3;RiskTier;Attrition_Prob_Tree;Tree_Segment
No;Sales Executive;No;9;0;36;10;2;2;Travel_Rarely;3;Moderately satisfied;2;3;2;164;7596;36-45;6001-8000;9-12;0;0.05586675980116476;1092.6443991045908;-639.2122815840386;2;Low;0.06491499227202473;24
Yes;Research Scientist;Yes;0;0;30;1;0;3;Travel_Frequently;4;Moderately satisfied;4;3;4;464;2285;26-35;2001-4000;0-4;1;0.8357651965456859;-4218.165288668339;-335.6762304524573;0;High;0.875;3
No;Laboratory Technician;No;7;17;37;18;1;3;Travel_Rarely;1;Satisfied;14;2;2;1107;3034;36-45;2001-4000;5-8;0;0.06850403774518654;-3468.713804775594;306.8115475964595;0;Low;0.06491499227202473;24
No;Sales Executive;No;4;3;40;5;2;3;Travel_Rarely;2;Satisfied;2;3;5;759;5715;36-45;4001-6000;0-4;0;0.029687198597129535;-787.9579737660042;-42.95891122100909;0;Low;0.06491499227202473;24
No;Laboratory Technician;No;2;2;42;5;1;3;Travel_Rarely;1;Moderately satisfied;1;3;5;201;2576;36-45;2001-4000;0-4;0;0.03304044967049708;-3927.325102749374;-598.8704031967746;0;Low;0.06491499227202473;24
No;Manufacturing Director;Yes;0;1;37;1;0;3;Travel_Rarely;2;Moderately satisfied;10;2;2;1305;4197;36-45;4001-6000;0-4;0;0.20944783057945793;-2305.600576507256;504.0517287757119;0;Medium;0.3333333333333333;11
No;Research Director;No;10;9;43;25;1;2;Travel_Rarely;2;Dissatisfied;12;3;3;982;14336;36-45;10000+;9-12;0;0.028025828963606825;7833.201256298495;174.2932102708777;1;Low;0.06491499227202473;24
No;Laboratory Technician;No;0;0;40;1;1;2;Travel_Rarely;3;Moderately satisfied;2;3;3;555;3448;36-45;2001-4000;0-4;0;0.03526247662166898;-3055.096112043387;-245.44821978327388;0;Low;0.0;10
No;Research Director;No;2;2;54;4;1;3;Travel_Rarely;1;Dissatisfied;5;2;4;821;19406;46-55;10000+;0-4;0;0.019723940197493506;12903.081762025658;9.936836513534217;1;Low;0.06491499227202473;24
No;Sales Executive;No;2;2;34;3;1;3;Non-Travel;3;Moderately satisfied;4;3;3;1381;6538;26-35;6001-8000;0-4;0;0.03735951116876412;35.44708175708183;578.4935031661306;2;Low;0.06491499227202473;24
No;Manufacturing Director;No;10;12;31;13;1;3;Travel_Rarely;1;Moderately satisfied;7;1;5;480;4306;26-35;4001-6000;9-12;0;0.05823601798936606;-2197.141698371318;-321.03006807892626;0;Low;0.45;20
No;Laboratory Technician;No;2;2;43;3;1;3;Travel_Frequently;4;Satisfied;21;3;1;313;2258;36-45;2001-4000;0-4;0;0.04014197463430656;-4245.2512008288495;-486.65934324313713;0;Low;0.06491499227202473;24
No;Healthcare Representative;Yes;2;2;43;5;0;3;Travel_Rarely;3;Moderately satisfied;8;3;3;1473;4522;36-45;4001-6000;0-4;0;0.062423170925641036;-1980.4797551593165;671.8342119799448;0;Low;0.28865979381443296;16
No;Sales Executive;Yes;4;3;25;5;0;2;Travel_Rarely;4;Moderately satisfied;4;3;3;891;4487;19-25;4001-6000;0-4;0;0.257784744561018;-2015.8834779758545;89.85521523816419;0;Medium;0.28865979381443296;16
No;Research Scientist;Yes;11;7;37;13;2;3;Non-Travel;3;Moderately satisfied;25;3;2;1063;4449;36-45;4001-6000;9-12;0;0.025312133566095768;-2053.7496165385965;261.87518542652276;0;Low;0.1111111111111111;17
No;Laboratory Technician;No;2;2;31;4;1;2;Travel_Rarely;1;Satisfied;1;3;3;329;2218;26-35;2001-4000;0-4;0;0.056281807125162286;-4285.250888118893;-470.63351180927526;0;Low;0.06491499227202473;24
No;Manager;Yes;8;6;39;21;1;3;Travel_Frequently;3;Moderately satisfied;1;3;3;1218;19197;36-45;10000+;5-8;0;0.03603060130720022;12694.345909341728;407.06337188648934;1;Low;0.1111111111111111;17
No;Sales Executive;No;7;7;56;7;3;4;Travel_Frequently;1;Moderately satisfied;6;2;0;906;13212;56-65;10000+;5-8;0;0.06973464543611863;6709.151107037684;99.05450558924167;1;Low;0.06491499227202473;24
No;Sales Executive;No;4;4;30;5;0;3;Travel_Rarely;3;Moderately satisfied;12;3;6;1082;6577;26-35;6001-8000;0-4;0;0.04350297155910773;74.24638359210348;279.46468927024296;2;Low;0.06491499227202473;24
No;Sales Executive;No;7;7;41;10;1;4;Travel_Rarely;1;Moderately satisfied;1;3;2;645;8392;36-45;8001-10000;5-8;0;0.06551685616224195;1888.969817547717;-158.74305634280506;2;Low;0.06491499227202473;24
No;Laboratory Technician;No;0;8;28;10;1;3;Travel_Rarely;1;Moderately satisfied;17;3;2;1300;4558;26-35;4001-6000;0-4;0;0.08566747840328877;-1944.605375249599;498.80247049903016;0;Low;0.06491499227202473;24
Yes;Laboratory Technician;No;2;2;25;2;1;3;Travel_Rarely;1;Dissatisfied;3;3;5;688;4031;19-25;4001-6000;0-4;1;0.4449344396056655;-2472.020944096809;-112.8395076299629;0;Medium;0.06491499227202473;24
No;Manufacturing Director;Yes;4;4;52;5;0;2;Travel_Rarely;3;Satisfied;3;3;4;319;7969;46-55;6001-8000;0-4;0;0.12631510637473192;1465.758863596936;-484.45663640989017;2;Low;0.28865979381443296;16
No;Research Scientist;No;2;2;45;2;2;3;Travel_Rarely;4;Dissatisfied;10;2;3;192;2654;36-45;2001-4000;0-4;0;0.05212885456526898;-3849.3305384443115;-607.9205698028915;0;Low;0.06491499227202473;24
No;Manager;No;2;4;52;5;0;3;Travel_Rarely;4;Satisfied;4;1;2;1490;16555;46-55;10000+;0-4;0;0.03100733639123462;10052.529072570129;680.8318232636551;1;Low;0.08333333333333333;21
No;Research Scientist;No;4;2;42;5;1;3;Travel_Frequently;3;Dissatisfied;29;3;3;532;4556;36-45;4001-6000;0-4;0;0.06936654636182531;-1947.1070261576588;-269.19002256435886;0;Low;0.06491499227202473;24
No;Manufacturing Director;No;4;2;30;5;0;1;Travel_Rarely;4;Moderately satisfied;2;3;2;317;6091;26-35;6001-8000;0-4;0;0.08527206958466636;-412.2623984301472;-485.2103236455989;2;Low;0.21212121212121213;23
No;Manager;No;8;10;60;29;0;3;Travel_Rarely;1;Dissatisfied;7;1;5;422;19566;56-65;10000+;5-8;0;0.0812619470391625;13062.842345651754;-389.1848180724318;1;Low;0.45;20
No;Manufacturing Director;No;7;8;46;10;1;3;Travel_Rarely;3;Moderately satisfied;18;2;5;1485;4810;46-55;4001-6000;5-8;0;0.04904099924690608;-1692.4630882736265;683.6381778373396;0;Low;0.06491499227202473;24
No;Healthcare Representative;No;5;4;42;6;3;2;Travel_Frequently;4;Satisfied;28;4;4;1368;4523;36-45;4001-6000;5-8;0;0.033013393149342506;-1979.5491044520368;566.8308126185865;0;Low;0.06491499227202473;24
Yes;Sales Representative;Yes;3;4;24;5;0;3;Travel_Rarely;2;Dissatisfied;1;3;4;1448;3202;19-25;2001-4000;0-4;1;0.7448178013509432;-3300.5125031476828;647.7094304245999;0;High;0.28865979381443296;16
Yes;Sales Representative;No;2;0;34;2;1;1;Travel_Frequently;3;Satisfied;6;2;3;296;2351;26-35;2001-4000;0-4;1;0.6314671628290861;-4152.2720841356895;-503.7201720694886;0;High;0.21212121212121213;23
No;Laboratory Technician;Yes;0;0;38;1;1;3;Travel_Frequently;4;Satisfied;2;3;3;1490;1702;36-45;0-2000;0-4;0;0.20155028436393663;-4800.47407541195;690.7126157772183;0;Medium;0.3333333333333333;11
No;Manager;No;15;12;40;20;0;3;Travel_Rarely;3;Moderately satisfied;2;3;2;1398;18041;36-45;10000+;13-16;0;0.012941106581069502;11538.470630919923;587.8316509162959;1;Low;0.06491499227202473;24
No;Research Scientist;No;2;2;26;3;2;3;Travel_Rarely;4;Dissatisfied;23;1;3;1349;2886;26-35;2001-4000;0-4;0;0.07770541460243853;-3616.5789633380764;548.9198928305904;0;Low;0.08333333333333333;21
No;Laboratory Technician;No;3;4;30;5;1;3;Non-Travel;4;Moderately satisfied;3;1;3;1400;2097;26-35;2001-4000;0-4;0;0.10239036080323102;-4405.537658373181;600.4455534594875;0;Low;0.08333333333333333;21
No;Research Director;No;2;7;29;10;0;2;Travel_Rarely;3;Moderately satisfied;3;3;2;986;11935;26-35;10000+;0-4;0;0.04597597424299313;5432.180159351365;179.89764261003097;2;Low;0.06491499227202473;24
Yes;Research Scientist;No;2;1;29;2;0;2;Travel_Rarely;2;Moderately satisfied;25;4;2;408;2546;26-35;2001-4000;0-4;1;0.4907594483931759;-3957.2028766373096;-391.85306011143905;0;Medium;0.06491499227202473;24
Yes;Human Resources;No;0;0;19;1;0;2;Travel_Rarely;4;Dissatisfied;2;4;3;489;2564;19-25;2001-4000;0-4;1;0.7568625306031239;-3939.1594321505363;-310.86350598139273;0;High;0.6285714285714286;5
No;Sales Executive;No;8;8;30;9;0;3;Non-Travel;1;Moderately satisfied;22;3;3;1398;8412;26-35;8001-10000;5-8;0;0.07407926734414885;1909.4594564920717;594.2397951015934;2;Low;0.06491499227202473;24
No;Manager;No;0;0;57;1;1;2;Travel_Rarely;4;Dissatisfied;29;2;3;210;14118;56-65;10000+;0-4;0;0.08049374356544783;7614.679523733528;-597.5451610915757;1;Low;0.13793103448275862;9
No;Manager;No;10;7;50;27;1;2;Travel_Rarely;3;Moderately satisfied;29;3;2;1099;17046;46-55;10000+;9-12;0;0.03517646576354015;10543.283533790624;289.4894485735448;1;Low;0.06491499227202473;24
No;Laboratory Technician;No;7;7;30;11;0;3;Non-Travel;4;Moderately satisfied;2;2;2;1116;2564;26-35;2001-4000;5-8;0;0.03931299906562071;-3938.721104000573;316.1310236524663;0;Low;0.06491499227202473;24
No;Sales Executive;No;13;11;60;18;0;2;Travel_Frequently;1;Moderately satisfied;28;4;5;1499;10266;56-65;10000+;13-16;0;0.13921817230652225;3763.5619174571093;694.0047394905297;2;Low;0.06491499227202473;24
No;Manufacturing Director;No;0;4;47;5;3;3;Travel_Rarely;4;Dissatisfied;2;3;2;983;5070;46-55;4001-6000;0-4;0;0.05098857065165712;-1432.8023325933236;181.47080220266298;0;Low;0.06491499227202473;24
No;Research Director;No;2;1;46;3;0;3;Travel_Rarely;3;Dissatisfied;2;1;2;1009;17861;46-55;10000+;0-4;0;0.06409602547134435;11358.199832495591;198.9644427528707;1;Low;0.08333333333333333;21
No;Laboratory Technician;No;4;3;35;5;0;1;Travel_Rarely;3;Satisfied;22;3;2;144;4230;26-35;4001-6000;0-4;0;0.0944708335255475;-2273.371210661251;-656.9738708915831;0;Low;0.21212121212121213;23
No;Laboratory Technician;No;0;0;54;1;0;3;Travel_Rarely;3;Moderately satisfied;8;3;3;548;3780;46-55;2001-4000;0-4;0;0.053082521097160655;-2723.0877323711074;-252.66746294340828;0;Low;0.0;10
No;Research Scientist;No;3;7;34;7;1;2;Travel_Rarely;3;Satisfied;2;3;3;1303;2768;26-35;2001-4000;0-4;0;0.02348450499241865;-3734.5968412240645;502.9977907601891;0;Low;0.06491499227202473;24
No;Sales Executive;Yes;2;2;46;3;1;2;Travel_Rarely;4;Moderately satisfied;10;3;3;1125;9071;46-55;8001-10000;0-4;0;0.09091603872474531;2568.2857024887126;320.810107812037;2;Low;0.1111111111111111;17
No;Manufacturing Director;No;8;8;31;13;1;3;Travel_Rarely;2;Moderately satisfied;9;4;6;1274;10648;26-35;10000+;5-8;0;0.03220242870746888;4145.378798095726;468.75175268725627;2;Low;0.06491499227202473;24
Yes;Manager;Yes;6;7;33;7;0;3;Travel_Rarely;3;Moderately satisfied;15;4;2;1277;13610;26-35;10000+;5-8;1;0.3973658458279192;7107.374823791068;469.78485012366116;1;Medium;0.28865979381443296;16
Yes;Laboratory Technician;No;3;3;33;4;3;1;Travel_Rarely;4;Dissatisfied;10;3;2;587;3408;26-35;2001-4000;0-4;1;0.47683714792868787;-3095.0781708108243;-213.4256177862752;0;Medium;0.21212121212121213;23
No;Sales Representative;No;2;2;30;3;0;3;Travel_Rarely;2;Satisfied;7;3;3;413;2983;26-35;2001-4000;0-4;0;0.09821216951775559;-3520.1975511034857;-387.14247201865055;0;Low;0.06491499227202473;24
No;Healthcare Representative;Yes;7;0;35;8;0;3;Travel_Rarely;3;Satisfied;16;3;2;1276;7632;26-35;6001-8000;5-8;0;0.1310074532788301;1129.3810230292038;472.7627868419055;2;Low;0.28865979381443296;16
Yes;Healthcare Representative;No;0;0;31;1;0;3;Travel_Frequently;3;Dissatisfied;20;3;2;534;9824;26-35;8001-10000;0-4;1;0.7754160683587543;3320.874415171338;-270.6923473920684;2;High;0.6285714285714286;5
Yes;Human Resources;Yes;2;2;34;3;3;3;Travel_Frequently;1;Moderately satisfied;23;3;2;988;9950;26-35;8001-10000;0-4;1;0.5794289516673504;3447.181626082409;183.22234563075745;2;High;0.1111111111111111;17
No;Laboratory Technician;No;2;0;42;2;1;3;Travel_Frequently;3;Moderately satisfied;5;3;4;1474;2093;36-45;2001-4000;0-4;0;0.07011372626856784;-4409.480166658589;674.4522912918045;0;Low;0.06491499227202473;24
No;Sales Executive;No;3;7;36;10;0;3;Non-Travel;4;Moderately satisfied;10;2;3;635;9980;36-45;8001-10000;0-4;0;0.04872761432723347;3476.955305356363;-169.80107848694422;2;Low;0.06491499227202473;24
Yes;Laboratory Technician;No;2;2;22;2;0;2;Travel_Frequently;3;Moderately satisfied;4;3;3;1368;3894;19-25;2001-4000;0-4;1;0.5722669481597922;-2608.571276369495;567.2507132331151;0;High;0.06491499227202473;24
No;Sales Executive;No;7;7;48;9;1;3;Travel_Rarely;4;Moderately satisfied;2;3;2;163;4051;46-55;4001-6000;5-8;0;0.08431379538465404;-2452.3405548767887;-637.8536682935355;0;Low;0.06491499227202473;24
No;Manager;No;9;7;55;10;0;3;Travel_Rarely;2;Dissatisfied;18;3;2;1117;16835;46-55;10000+;9-12;0;0.04297776551320043;10332.289219236185;307.64129962785694;1;Low;0.06491499227202473;24
No;Sales Executive;No;3;10;41;14;0;3;Non-Travel;4;Satisfied;10;3;3;267;6230;36-45;6001-8000;0-4;0;0.03732817165094837;-273.2775606749665;-535.308962663475;2;Low;0.06491499227202473;24
No;Sales Executive;No;9;9;35;11;0;3;Travel_Rarely;3;Moderately satisfied;1;3;2;619;4717;26-35;4001-6000;9-12;0;0.0329883484951233;-1786.047947826437;-182.30052409607708;0;Low;0.06491499227202473;24
No;Manufacturing Director;No;6;13;40;20;0;3;Travel_Rarely;3;Moderately satisfied;6;3;3;302;13237;36-45;10000+;5-8;0;0.01904585356077594;6733.743677112598;-504.973647227944;1;Low;0.06491499227202473;24
No;Laboratory Technician;No;3;7;39;8;1;3;Travel_Frequently;3;Moderately satisfied;8;3;3;443;3755;36-45;2001-4000;0-4;0;0.043472798559675216;-2748.164746895754;-357.65869405419863;0;Low;0.06491499227202473;24
No;Sales Executive;Yes;5;5;31;6;0;3;Travel_Rarely;4;Moderately satisfied;2;4;2;828;6582;26-35;6001-8000;5-8;0;0.14779863074736743;79.07990055897062;25.46185941671149;2;Low;0.28865979381443296;16
No;Manufacturing Director;Yes;9;8;42;10;1;3;Travel_Rarely;1;Satisfied;24;2;5;319;7406;36-45;6001-8000;9-12;0;0.06166546598361107;902.7549497957116;-484.08928749308967;2;Low;0.1111111111111111;17
No;Sales Executive;No;7;7;45;8;1;3;Travel_Rarely;2;Satisfied;2;4;3;561;4805;36-45;4001-6000;5-8;0;0.021570154255112953;-1698.0800433742825;-240.3554827462301;0;Low;0.06491499227202473;24
Yes;Human Resources;Yes;7;0;26;7;1;3;Travel_Frequently;3;Moderately satisfied;17;2;2;426;2741;26-35;2001-4000;5-8;1;0.7077686672249912;-3762.1892155761966;-373.98436535557727;0;High;0.1111111111111111;17
No;Manufacturing Director;No;2;2;29;3;2;3;Travel_Rarely;4;Satisfied;19;4;2;232;4262;26-35;4001-6000;0-4;0;0.06298381979260936;-2241.3205214795244;-568.9941840305098;0;Low;0.06491499227202473;24
No;Research Director;No;1;5;33;6;1;4;Travel_Rarely;3;Dissatisfied;1;3;2;922;16184;26-35;10000+;0-4;0;0.06301849774889526;9681.133794149886;113.07524476089475;1;Low;0.06491499227202473;24
No;Manager;No;4;1;31;5;1;2;Travel_Rarely;4;Moderately satisfied;7;2;3;688;11557;26-35;10000+;0-4;0;0.06052099712502689;5053.9796962811815;-117.846078921468;2;Low;0.06491499227202473;24
Yes;Sales Representative;Yes;0;0;18;0;0;3;Travel_Frequently;2;Moderately satisfied;5;3;3;1306;1878;0-18;0-2000;0-4;1;0.9389748677248677;-4624.616763449545;506.5925671266983;0;High;0.875;3
No;Sales Executive;No;0;1;40;1;1;1;Non-Travel;1;Moderately satisfied;28;3;2;1094;10932;36-45;10000+;0-4;0;0.07249198082558829;4429.254790913888;288.5704531801424;2;Low;0.0;10
No;Healthcare Representative;Yes;7;7;41;8;0;2;Non-Travel;3;Dissatisfied;2;3;3;509;6811;36-45;6001-8000;5-8;0;0.11319674997169474;307.8795089349396;-293.69038180235395;2;Low;0.28865979381443296;16
No;Sales Executive;No;0;0;26;0;2;3;Travel_Rarely;3;Dissatisfied;29;3;5;775;4306;26-35;4001-6000;0-4;0;0.21008594819429177;-2196.965529664699;-26.023031982188513;0;Medium;0.30434782608695654;6
No;Sales Executive;No;4;3;35;5;0;3;Travel_Rarely;3;Dissatisfied;1;3;3;195;4859;26-35;4001-6000;0-4;0;0.0849607620901426;-1644.3372617124041;-606.3900822930877;0;Low;0.06491499227202473;24
No;Sales Executive;No;7;7;34;10;0;4;Travel_Rarely;4;Satisfied;21;3;3;258;5337;26-35;4001-6000;5-8;0;0.05743320655991169;-1166.2920950765629;-543.7136748839034;0;Low;0.06491499227202473;24
Yes;Laboratory Technician;Yes;0;0;26;1;0;1;Travel_Rarely;4;Moderately satisfied;24;1;3;471;2340;26-35;2001-4000;0-4;1;0.9484850230414748;-4163.165124362948;-328.71541299022755;0;High;0.875;3
No;Manufacturing Director;No;5;2;37;6;0;3;Travel_Rarely;4;Moderately satisfied;1;4;3;799;7491;36-45;6001-8000;5-8;0;0.03074914572822517;988.0647736084984;-4.140987550472573;2;Low;0.06491499227202473;24
No;Healthcare Representative;No;2;2;46;2;0;3;Travel_Frequently;3;Dissatisfied;18;2;3;1034;10527;46-55;10000+;0-4;0;0.1204708480424384;4024.2228511370977;228.84141004960532;2;Low;0.06491499227202473;24
No;Manager;No;16;8;41;18;1;3;Travel_Rarely;1;Moderately satisfied;2;3;2;1276;16595;36-45;10000+;13-16;0;0.014632668057990168;10092.389752598529;466.79584522842185;1;Low;0.06491499227202473;24
No;Sales Executive;No;5;7;37;9;1;3;Non-Travel;2;Dissatisfied;9;3;6;142;8834;36-45;8001-10000;5-8;0;0.09730327243242325;2330.6293098184688;-662.0377295281332;2;Low;0.06491499227202473;24
No;Research Scientist;Yes;9;9;52;10;2;3;Travel_Rarely;1;Satisfied;6;3;3;956;5577;46-55;4001-6000;9-12;0;0.020803781261064837;-925.8089113942606;154.13007722305053;0;Low;0.1111111111111111;17
Yes;Sales Executive;No;2;2;32;4;0;4;Non-Travel;3;Satisfied;11;3;2;1474;4707;26-35;4001-6000;0-4;1;0.40671599248411355;-1795.4906954395556;672.7098178372993;0;Medium;0.06491499227202473;24
No;Sales Representative;No;2;1;24;2;2;3;Travel_Frequently;4;Satisfied;24;3;3;535;2400;19-25;2001-4000;0-4;0;0.11066676554760667;-4103.123002369325;-264.7561709060815;0;Low;0.06491499227202473;24
No;Healthcare Representative;No;0;0;38;1;1;3;Travel_Rarely;3;Moderately satisfied;10;3;4;1495;9824;36-45;8001-10000;0-4;0;0.09868352610275814;3321.5209892294533;690.3093781088857;2;Low;0.0;10
No;Manufacturing Director;No;5;3;37;6;1;3;Travel_Rarely;2;Moderately satisfied;1;2;2;446;6447;36-45;6001-8000;5-8;0;0.024262482001143705;-56.16882793588047;-356.4466136396259;2;Low;0.06491499227202473;24
No;Research Director;Yes;9;9;49;31;1;2;Travel_Rarely;3;Satisfied;18;3;5;1245;19502;46-55;10000+;9-12;0;0.03308033359328398;12999.380498580327;433.8538703105379;1;Low;0.1111111111111111;17
No;Research Scientist;Yes;5;4;24;6;2;4;Travel_Rarely;4;Moderately satisfied;23;3;3;691;2725;19-25;2001-4000;5-8;0;0.3104125182521265;-3778.0151576226644;-108.97510969552627;0;Medium;0.1111111111111111;17
No;Sales Executive;No;3;4;26;5;2;3;Travel_Rarely;2;Dissatisfied;28;4;5;703;6272;26-35;6001-8000;0-4;0;0.13442760969783185;-231.0101101875798;-99.334486466253;2;Low;0.06491499227202473;24
No;Laboratory Technician;No;0;0;24;1;1;2;Travel_Rarely;2;Satisfied;17;3;2;823;2127;19-25;2001-4000;0-4;0;0.49396479030372964;-4375.932368097414;23.426334819981435;0;Medium;0.30434782608695654;6
No;Manager;No;5;7;50;32;1;3;Travel_Frequently;2;Dissatisfied;3;3;2;1246;18200;46-55;10000+;5-8;0;0.07327113046913873;11697.38291529463;435.72112567248666;1;Low;0.06491499227202473;24
No;Sales Representative;No;4;6;25;7;0;3;Travel_Rarely;3;Moderately satisfied;13;3;1;622;2096;19-25;2001-4000;0-4;0;0.07832802984498373;-4407.058293135641;-177.55711472288465;0;Low;0.06491499227202473;24
Yes;Laboratory Technician;Yes;3;2;24;6;1;3;Travel_Frequently;3;Dissatisfied;7;3;4;1287;2886;19-25;2001-4000;0-4;1;0.6954553075145167;-3616.6193764452714;486.9191951596773;0;High;0.1111111111111111;17
Yes;Sales Representative;No;0;0;30;1;1;2;Travel_Frequently;1;Moderately satisfied;12;4;2;448;2033;26-35;2001-4000;0-4;1;0.7772731472788142;-4470.175876694646;-351.5097277161678;0;High;0.30434782608695654;6
No;Research Scientist;Yes;5;3;34;6;1;2;Travel_Rarely;4;Moderately satisfied;1;3;3;254;3622;26-35;2001-4000;5-8;0;0.08239357498815623;-2881.2968165129923;-546.5678518812398;0;Low;0.1111111111111111;17
Yes;Sales Executive;No;1;2;31;3;0;3;Travel_Rarely;1;Moderately satisfied;13;1;2;1365;4233;26-35;4001-6000;0-4;1;0.5558342582076883;-2269.564732696833;564.0251658760238;0;High;0.08333333333333333;21
No;Laboratory Technician;No;2;2;35;3;0;2;Travel_Rarely;4;Dissatisfied;25;3;3;538;3681;26-35;2001-4000;0-4;0;0.18805943191454458;-2822.110777255954;-262.60774470013894;0;Low;0.06491499227202473;24
No;Sales Executive;No;7;7;31;7;2;4;Travel_Rarely;4;Dissatisfied;6;4;4;525;5460;26-35;4001-6000;5-8;0;0.03799971150392774;-1043.1190087909963;-276.792783859501;0;Low;0.06491499227202473;24
No;Research Scientist;No;3;3;27;5;2;2;Travel_Rarely;3;Dissatisfied;6;2;5;798;2187;26-35;2001-4000;0-4;0;0.03714819348789713;-4315.941586790614;-1.6146635498372461;0;Low;0.06491499227202473;24
No;Sales Executive;Yes;0;0;37;3;1;3;Travel_Rarely;3;Satisfied;2;2;3;558;9602;36-45;8001-10000;0-4;0;0.10679658816871682;3098.8983035551882;-246.54298219881593;2;Low;0.1111111111111111;17
No;Research Scientist;No;0;0;20;1;0;2;Travel_Rarely;2;Satisfied;1;4;0;959;2836;19-25;2001-4000;0-4;0;0.22577852028294415;-3666.8459557210235;158.955453744819;0;Medium;0.6285714285714286;5
No;Healthcare Representative;No;2;2;42;10;2;3;Travel_Rarely;4;Moderately satisfied;2;3;4;622;4089;36-45;4001-6000;0-4;0;0.034335446240329776;-2414.0430661375954;-178.87959616889884;0;Low;0.06491499227202473;24
No;Research Director;Yes;0;0;43;1;1;2;Travel_Rarely;4;Moderately satisfied;6;2;3;782;16627;36-45;10000+;0-4;0;0.05242407414424966;10124.044804159194;-27.214188430340187;1;Low;0.3333333333333333;11
No;Research Scientist;No;0;0;38;0;0;3;Travel_Rarely;1;Moderately satisfied;1;2;3;362;2619;36-45;2001-4000;0-4;0;0.08095916508759653;-3884.2262983498663;-437.89645346957724;0;Low;0.0;10
No;Laboratory Technician;Yes;7;7;43;8;1;3;Travel_Frequently;3;Satisfied;9;3;3;1001;5679;36-45;4001-6000;5-8;0;0.02285151245359714;-823.7902965635276;199.06213382049657;0;Low;0.1111111111111111;17
No;Manager;No;2;2;48;3;1;2;Travel_Rarely;1;Satisfied;1;1;3;1236;15402;46-55;10000+;0-4;0;0.030883544905746393;8899.355562177785;427.59997548507647;1;Low;0.08333333333333333;21
No;Human Resources;No;2;2;44;2;0;2;Travel_Rarely;3;Dissatisfied;1;4;1;1112;5985;36-45;4001-6000;0-4;0;0.07370228542506453;-517.7222555779872;309.8635996923432;0;Low;0.06491499227202473;24
No;Sales Representative;Yes;2;6;34;8;2;3;Travel_Rarely;3;Moderately satisfied;14;3;3;204;2579;26-35;2001-4000;0-4;0;0.12245253309268797;-3924.328179589431;-595.8773835635809;0;Low;0.1111111111111111;17
Yes;Sales Representative;No;3;2;27;4;1;3;Travel_Rarely;1;Moderately satisfied;2;3;3;1420;3041;26-35;2001-4000;0-4;1;0.44578864102742927;-3461.529311934728;619.8179799404667;0;Medium;0.06491499227202473;24
No;Sales Representative;No;2;2;21;3;0;3;Travel_Rarely;3;Moderately satisfied;22;3;2;1343;3447;19-25;2001-4000;0-4;0;0.1389423760195405;-3055.5882663321277;542.5456563271601;0;Low;0.06491499227202473;24
No;Manager;Yes;2;1;44;2;1;3;Travel_Rarely;4;Satisfied;3;4;2;1315;19513;36-45;10000+;0-4;0;0.03708281951589262;13010.399186167679;503.8656247901098;1;Low;0.1111111111111111;17
No;Research Scientist;No;2;2;22;2;0;3;Travel_Rarely;3;Dissatisfied;6;3;3;604;2773;19-25;2001-4000;0-4;0;0.06409576333262089;-3730.0786132571466;-196.00339452661945;0;Low;0.06491499227202473;24
No;Sales Executive;No;0;2;33;5;0;3;Travel_Rarely;3;Moderately satisfied;8;3;3;1216;7104;26-35;6001-8000;0-4;0;0.043440962647542596;601.3364207693066;413.1151760692725;2;Low;0.06491499227202473;24
No;Research Scientist;Yes;4;5;32;6;1;3;Travel_Rarely;4;Dissatisfied;9;2;2;646;6322;26-35;6001-8000;0-4;0;0.06356044051705514;-181.04055505428641;-156.36550426194196;2;Low;0.1111111111111111;17
No;Research Scientist;No;0;0;30;1;1;3;Travel_Frequently;3;Moderately satisfied;3;3;2;160;2083;26-35;2001-4000;0-4;0;0.20727097469038228;-4420.3673393486515;-639.5416648069959;0;Medium;0.30434782608695654;6
No;Sales Executive;No;7;10;53;14;0;3;Travel_Rarely;1;Satisfied;1;4;2;238;8381;46-55;8001-10000;5-8;0;0.08835547517001113;1877.7140763870975;-565.7369747730188;2;Low;0.06491499227202473;24
No;Research Scientist;No;9;8;34;10;1;3;Travel_Rarely;4;Moderately satisfied;1;2;4;1397;2691;26-35;2001-4000;9-12;0;0.011981350382514572;-3811.5302087562372;597.0476636733162;0;Low;0.06491499227202473;24
Yes;Sales Executive;No;1;0;45;1;2;3;Travel_Frequently;1;Dissatisfied;26;3;4;306;4286;36-45;4001-6000;0-4;1;0.6102511861209637;-2217.258168158004;-495.0070105116992;0;High;0.13793103448275862;9
No;Laboratory Technician;Yes;2;2;26;3;1;3;Travel_Rarely;4;Moderately satisfied;6;3;2;991;2659;26-35;2001-4000;0-4;0;0.2041871145068815;-3843.8164530680956;191.07248998663886;0;Medium;0.1111111111111111;17
